"z1","u1","z2","u2","z3","u3",
0.031746,1,0.017094,1.5,0.031746,0.5,
0.031746,1,0.01221,1.5,0.031746,0.5,
0.031746,1,0.017094,1.5,0.031746,0.5,
0.031746,1,0.23199,1.5,0.031746,0.5,
0.24176,1,0.44689,1.5,0.031746,0.5,
0.25153,1,0.74969,1.5,0.23687,0.5,
0.57387,1,1.2674,1.5,0.29548,0.5,
0.73016,1,1.8779,1.5,0.42247,0.5,
1.0379,1,2.5177,1.5,0.5348,0.5,
1.243,1,3.0745,1.5,0.53968,0.5,
1.4286,1,3.4896,1.5,0.64713,0.5,
1.5556,1,3.7729,1.5,0.6862,0.5,
1.6288,1,3.9243,1.5,0.70574,0.5,
1.6581,1,3.9487,1.5,0.75458,0.5,
1.6093,1,3.8608,1.5,0.69597,0.5,
1.5311,1,3.7436,1.5,0.64713,0.5,
1.4823,1,3.6801,1.5,0.68132,0.5,
1.4628,1,3.6606,1.5,0.55433,0.5,
1.4725,1,3.6801,1.5,0.64713,0.5,
1.4921,1,3.7778,1.5,0.54945,0.5,
1.5897,1,3.9292,1.5,0.64713,0.5,
1.6777,1,4.1343,1.5,0.70574,0.5,
1.8144,1,4.315,1.5,0.74969,0.5,
1.9072,1,4.4274,1.5,0.75946,0.5,
1.9951,1,4.5397,1.5,0.80342,0.5,
2.0733,-1,4.6178,-1.5,0.85226,-0.5,
2.0977,-1,4.6374,-1.5,0.83761,-0.5,
2.0684,-1,4.5495,-1.5,0.86203,-0.5,
1.9023,-1,4.2564,-1.5,0.779,-0.5,
1.5946,-1,3.6215,-1.5,0.65201,-0.5,
1.1453,-1,2.6593,-1.5,0.41758,-0.5,
0.51526,-1,1.3895,-1.5,0.10989,-0.5,
0.34921,-1,0.67155,-1.5,0.22222,-0.5,
0.6862,-1,1.3065,-1.5,0.41758,-0.5,
1.1453,-1,2.4347,-1.5,0.63736,-0.5,
1.5751,-1,3.4896,-1.5,0.82784,-0.5,
1.873,-1,4.1929,-1.5,0.81807,-0.5,
1.9658,-1,4.4908,-1.5,0.87179,-0.5,
1.8681,-1,4.4127,-1.5,0.779,-0.5,
1.6093,-1,4.0171,-1.5,0.62271,-0.5,
1.3065,1,3.514,1.5,0.52991,0.5,
1.0232,1,3.011,1.5,0.32967,0.5,
0.76435,1,2.6398,1.5,0.25153,0.5,
0.68132,1,2.2295,1.5,0.30525,0.5,
0.34921,1,1.7411,1.5,0.10501,0.5,
0.20269,1,1.0525,1.5,0.046398,0.5,
0.065934,1,0.36386,1.5,0.026862,0.5,
0.40293,1,0.66667,1.5,0.12943,0.5,
0.67643,1,1.453,1.5,0.38339,0.5,
0.91575,1,2.3321,1.5,0.46154,0.5,
1.1502,-1,3.0794,-1.5,0.54945,-0.5,
1.3651,-1,3.602,-1.5,0.53968,-0.5,
1.4628,-1,3.7827,-1.5,0.61783,-0.5,
1.4139,-1,3.514,-1.5,0.59829,-0.5,
1.1502,-1,2.7717,-1.5,0.44689,-0.5,
0.8083,1,1.6972,1.5,0.17338,0.5,
0.21245,1,0.54945,1.5,0.051282,0.5,
0.42247,1,1.0525,1.5,0.1685,0.5,
0.81807,1,1.9805,1.5,0.39316,0.5,
1.0379,1,2.6496,1.5,0.45665,0.5,
1.1062,1,2.6935,1.5,0.47131,0.5,
0.84249,1,2.083,1.5,0.26129,0.5,
0.49573,1,0.89133,1.5,0.23199,0.5,
0.36386,1,0.94505,1.5,0.30037,0.5,
0.86203,1,2.2247,1.5,0.48107,0.5,
1.5067,1,3.851,1.5,0.69597,0.5,
2.0781,1,5.16,1.5,0.87668,0.5,
2.4444,1,5.8877,1.5,0.98901,0.5,
2.5714,1,6.0733,1.5,1.0085,0.5,
2.464,1,5.7265,1.5,0.90598,0.5,
2.1709,-1,5.0525,-1.5,0.78877,-0.5,
1.8339,-1,4.3346,-1.5,0.64713,-0.5,
1.409,-1,3.6264,-1.5,0.52015,-0.5,
1.0183,-1,2.8449,-1.5,0.39805,-0.5,
0.55433,-1,1.9707,-1.5,0.12454,-0.5,
0.26618,1,1.1404,1.5,0.046398,0.5,
0.35409,1,0.48596,1.5,0.36386,0.5,
0.70574,1,0.89133,1.5,0.48107,0.5,
0.94994,1,1.4774,1.5,0.54945,0.5,
1.0085,1,1.7656,1.5,0.53968,0.5,
0.81807,1,1.6142,1.5,0.32479,0.5,
0.45665,1,0.99389,1.5,0.23199,0.5,
0.34432,1,0.55922,1.5,0.070818,0.5,
0.6569,1,1.3211,1.5,0.38828,0.5,
1.1746,1,2.5617,1.5,0.5348,0.5,
1.7411,-1,3.8022,-1.5,0.78877,-0.5,
2.1465,-1,4.7497,-1.5,0.88156,-0.5,
2.3272,-1,5.1941,-1.5,0.85714,-0.5,
2.1856,-1,4.9451,-1.5,0.81807,-0.5,
