"u11","u12","z11","z12",
1.6961,2.1961,-0.021978,-0.021978,
1.6961,2.1961,-0.021978,-0.021978,
1.6961,2.1961,0.017094,0.026862,
1.6961,2.1961,-0.002442,0.03663,
1.6961,2.1961,0.090354,0.095238,
1.6961,2.1961,0.18803,0.23199,
1.6961,2.1961,0.31013,0.41758,
1.6961,2.1961,0.47131,0.63736,
1.6961,2.1961,0.62759,0.88156,
1.6961,2.1961,0.75946,1.1013,
1.6961,2.1961,0.85226,1.2527,
1.6961,2.1961,0.9011,1.3407,
1.6961,2.1961,0.91087,1.3748,
1.6961,2.1961,0.88645,1.37,
1.6961,2.1961,0.87668,1.3651,
-0.10254,0.39746,0.88645,1.3895,
-0.10254,0.39746,0.91087,1.4432,
-0.10254,0.39746,0.94505,1.5116,
-0.10254,0.39746,0.96459,1.5653,
-0.10254,0.39746,0.9304,1.5556,
-0.10254,0.39746,0.81807,1.453,
-0.10254,0.39746,0.66178,1.2723,
-0.10254,0.39746,0.48596,1.0623,
-0.10254,0.39746,0.31013,0.85226,
-0.10254,0.39746,0.16361,0.66667,
2.0603,2.5603,0.051282,0.52503,
2.0603,2.5603,-0.007326,0.42735,
2.0603,2.5603,-0.026862,0.38339,
2.0603,2.5603,0.031746,0.41758,
2.0603,2.5603,0.12454,0.52503,
0.02179,0.52179,0.30037,0.72039,
0.02179,0.52179,0.5348,0.98413,
0.02179,0.52179,0.79853,1.2723,
0.02179,0.52179,1.0037,1.5116,
0.02179,0.52179,1.0574,1.6093,
0.02179,0.52179,0.96947,1.5214,
0.02179,0.52179,0.74481,1.3065,
0.02179,0.52179,0.46642,1.0232,
0.02179,0.52179,0.20269,0.75458,
0.02179,0.52179,0.06105,0.54457,
0.02179,0.52179,0.08547,0.40781,
0.02179,0.52179,0.11966,0.33455,
0.02179,0.52179,0.13919,0.32479,
0.02179,0.52179,0.08547,0.36386,
0.02179,0.52179,0.021978,0.42247,
0.71213,1.2121,0.080586,0.47619,
0.71213,1.2121,0.15873,0.51526,
0.71213,1.2121,0.22711,0.52503,
0.71213,1.2121,0.22222,0.50061,
0.71213,1.2121,0.21734,0.46154,
0.71213,1.2121,0.18315,0.43223,
0.71213,1.2121,0.10989,0.41758,
0.71213,1.2121,0.075702,0.41758,
0.71213,1.2121,0.08547,0.45177,
0.71213,1.2121,0.090354,0.50549,
-0.60437,-0.10437,0.095238,0.57387,
-0.60437,-0.10437,0.15873,0.64225,
-0.60437,-0.10437,0.20757,0.69109,
-0.60437,-0.10437,0.24664,0.70085,
-0.60437,-0.10437,0.23687,0.65201,
-0.60437,-0.10437,0.19292,0.53968,
-0.60437,-0.10437,0.11477,0.40781,
-0.60437,-0.10437,0.056166,0.26618,
-0.60437,-0.10437,0.090354,0.13431,
-0.60437,-0.10437,0.17338,0.01221,
-0.60437,-0.10437,0.23199,0.03663,
-0.60437,-0.10437,0.25153,0.031746,
-0.60437,-0.10437,0.23687,0.070818,
-0.60437,-0.10437,0.17338,0.056166,
-0.60437,-0.10437,0.12943,0.007326,
1.6789,2.1789,0.056166,-0.002442,
1.6789,2.1789,-0.002442,0.026862,
1.6789,2.1789,0.01221,0.065934,
1.6789,2.1789,-0.017094,0.10501,
1.6789,2.1789,0.01221,0.15873,
0.38226,0.88226,0.10012,0.26618,
0.38226,0.88226,0.17827,0.41758,
0.38226,0.88226,0.29548,0.59829,
0.38226,0.88226,0.40781,0.76435,
0.38226,0.88226,0.48107,0.87179,
0.38226,0.88226,0.50061,0.89133,
0.38226,0.88226,0.44689,0.83272,
0.38226,0.88226,0.34432,0.72039,
0.38226,0.88226,0.21734,0.58852,
0.38226,0.88226,0.12943,0.45665,
0.38226,0.88226,0.026862,0.38339,
0.38226,0.88226,0.021978,0.34432,
0.38226,0.88226,-0.002442,0.34921,
